1,boston-celtics,Boston Celtics
2,brooklyn-nets,Brooklyn Nets
3,new-york-knicks,New York Knicks
4,philadelphia-76ers,Philadelphia 76ers
5,toronto-raptors,Toronto Raptors
6,golden-state-warriors,Golden State Warriors
7,los-angeles-clippers,Los Angeles Clippers
8,los-angeles-lakers,Los Angeles Lakers
9,phoenix-suns,Phoenix Suns
10,sacramento-kings,Sacramento Kings
11,chicago-bulls,Chicago Bulls
12,cleveland-cavaliers,Cleveland Cavaliers
13,detroit-pistons,Detroit Pistons
14,indiana-pacers,Indiana Pacers
15,milwaukee-bucks,Milwaukee Bucks
16,dallas-mavericks,Dallas Mavericks
17,houston-rockets,Houston Rockets
18,memphis-grizzlies,Memphis Grizzlies
19,new-orleans-hornets,New Orleans Hornets
20,san-antonio-spurs,San Antonio Spurs
21,atlanta-hawks,Atlanta Hawks
22,charlotte-bobcats,Charlotte Bobcats
23,miami-heat,Miami Heat
24,orlando-magic,Orlando Magic
25,washington-wizards,Washington Wizards
26,denver-nuggets,Denver Nuggets
27,minnesota-timberwolves,Minnesota Timberwolves
28,oklahoma-city-thunder,Oklahoma City Thunder
29,portland-trail-blazers,Portland Trail Blazers
30,utah-jazz,Utah Jazz
